i,score
589,0.3
590,0.06
591,0.34
592,0.51
593,0.37
594,0.62
595,0.55
596,0.46
597,0.63
598,0.78
599,0.2
600,0.4
601,0.4
602,0.52
604,0.33
606,0.46
607,0.42
608,0.09
609,0.43
610,0.27
611,0.37
612,0.35
613,0.47
614,0.17
615,0.32
616,0.54
617,0.04
618,0.12
620,0.46
621,0.5
623,0.61
624,0.26
625,0.71
626,0.42
627,0.46
628,0.3
629,0.4
631,0.36
632,0.43
633,0.56
634,0.5
635,0.56
636,0.31
637,0.31
638,0.58
639,0.84
640,0.75
641,0.34
642,0.64
643,0.28
644,0.27
645,0.76
646,0.15
647,0.23
648,0.57
649,0.4
650,0.2
651,0.47
653,0.57
654,0.47
655,0.3
656,0.25
657,0.2
658,0.38
659,0.8
660,0.38
661,0.42
663,0.3
664,0.55
665,0.54
666,0.51
667,0.35
668,0.57
670,0.4
672,0.22
673,0.73
674,0.57
675,0.36
676,0.28
677,0.21
678,0.55
679,0.49
680,0.69
681,0.29
682,0.37
683,0.32
684,0.29
685,0.46
686,0.21
687,0.41
688,0.22
689,0.37
690,-0.08
691,0.5
692,0.56
693,0.23
694,0.23
695,0.42
696,0.73
697,0.4
698,0.46
699,0.38
700,0.33
701,0.81
702,0.59
703,0.37
704,0.36
705,0.35
706,0.34
708,0.14
709,0.27
710,0.35
711,0.82
713,0.4
714,0.34
715,0.23
716,0.33
717,0.57
718,0.18
719,0.14
720,0.64
721,0.03
722,0.32
723,0.49
724,0.44
725,0.4
726,0.92
727,0.3
728,0.35
729,0.25
730,0.34
731,0.29
733,0.11
734,0.29
735,0.48
736,0.29
737,0.31
738,0.19
741,0.23
743,0.26
744,0.33
745,0.56
746,0.16
747,0.6
749,0.5
751,0.4
752,0.31
753,0.46
754,1.0
755,0.47
756,0.5
757,0.5
758,0.52
759,0.22
760,0.7
761,0.15
762,0.47
763,0.21
764,-0.12
765,0.78
766,0.41
767,0.3
768,0.44
769,0.48
770,0.84
772,0.59
773,0.31
774,0.57
775,0.34
776,0.32
777,0.3
778,0.3
779,0.34
780,0.34
781,0.39
782,0.39
783,0.48
785,0.3
786,0.48
788,0.43
789,0.51
790,0.4
791,0.64
792,0.52
793,0.08
795,-0.0
796,0.62
797,0.31
798,-0.1
799,0.57
800,0.43
801,0.6
802,0.31
803,0.36
804,0.51
805,0.01
806,0.52
807,0.1
808,0.56
809,0.73
810,0.29
