i,score
582,0.36
583,0.15
584,0.12
585,0.52
586,-0.22
587,-0.11
588,0.33
589,0.38
590,0.19
591,0.47
592,0.28
593,0.61
594,0.17
595,0.31
596,0.45
597,0.4
598,0.14
599,0.43
600,0.47
601,0.24
602,0.55
603,0.31
604,0.44
605,0.42
606,0.56
607,0.2
608,0.18
609,0.49
610,0.34
611,0.17
612,0.22
613,0.38
614,0.7
615,0.19
616,0.56
617,0.37
618,0.3
619,0.48
620,0.52
622,0.6
623,0.2
624,0.36
625,-0.23
626,0.4
627,0.36
628,-0.6
629,0.56
632,0.38
633,0.47
634,0.08
635,0.39
636,0.54
637,0.29
638,0.25
639,0.47
640,0.37
641,0.5
642,0.25
644,0.15
645,0.03
646,0.44
648,-0.11
649,0.57
650,0.35
652,0.12
653,0.28
654,0.43
655,0.28
656,0.46
657,0.58
658,0.26
660,0.34
661,0.35
662,-0.0
663,0.51
664,0.3
665,0.42
666,0.34
667,0.25
669,-0.24
670,0.37
671,0.4
672,0.36
673,0.32
674,0.55
675,0.54
676,0.35
677,0.4
678,0.28
680,0.51
681,0.63
682,0.65
683,0.45
684,0.23
685,0.44
686,0.23
687,0.19
688,0.58
690,0.14
691,0.26
692,0.49
693,0.32
694,0.24
695,0.47
696,0.35
697,0.29
698,0.46
699,0.67
700,0.41
702,0.24
703,-0.02
705,-0.14
706,0.28
707,-0.23
708,0.22
709,0.07
711,0.37
712,0.12
714,0.36
715,0.17
716,0.02
717,1.0
718,0.25
719,0.46
720,0.63
721,0.59
722,0.07
723,0.45
724,0.84
726,0.21
727,0.33
728,-0.14
729,0.04
730,0.09
731,0.09
732,0.2
733,-0.07
735,0.06
736,0.1
737,0.53
738,0.57
739,0.38
740,0.59
741,0.14
742,0.32
743,0.16
744,0.62
746,0.43
747,-0.24
748,0.53
749,0.08
750,0.13
751,0.41
752,0.13
753,0.03
754,0.17
755,0.37
756,0.38
757,0.28
758,0.11
759,0.28
760,0.22
761,0.24
762,0.49
763,0.53
764,0.32
765,0.56
766,0.46
767,0.46
768,0.38
769,0.33
771,0.43
772,0.46
773,0.65
774,0.43
775,0.4
777,0.45
778,-0.26
779,0.58
780,0.23
781,0.4
782,0.22
783,0.26
784,0.14
785,0.04
786,0.39
787,0.14
788,-0.25
789,0.01
790,0.14
791,0.06
792,0.45
793,0.79
794,0.29
795,0.14
796,-0.02
797,0.2
798,0.67
799,0.23
801,0.83
802,0.33
803,0.05
804,0.32
805,0.5
806,0.74
807,0.63
808,0.3
809,0.24
810,0.3
811,0.71
812,0.11
813,0.21
814,0.51
815,0.23
816,0.5
817,0.33
818,0.57
819,0.15
820,0.07
821,0.26
822,0.38
823,0.13
824,-0.25
825,0.42
826,0.24
827,0.39
828,0.2
829,0.35
830,0.2
831,0.37
832,0.36
833,0.4
834,0.17
835,-0.43
836,0.29
837,0.32
838,0.38
840,0.41
841,0.62
842,0.34
843,0.41
845,0.24
846,0.59
847,0.37
848,0.29
849,0.25
850,0.38
852,0.25
853,0.45
854,0.24
855,0.28
856,0.38
857,0.35
858,0.26
859,-0.25
860,0.31
861,0.56
863,0.54
864,0.15
865,0.73
866,0.26
868,0.61
869,0.25
870,0.01
871,0.15
872,0.17
873,0.44
874,0.11
875,0.24
876,0.19
877,0.13
878,0.05
879,0.33
880,0.53
881,0.19
882,0.21
883,0.39
884,0.39
886,0.38
887,0.44
889,0.44
890,0.27
891,0.36
892,-0.23
893,0.46
894,0.24
897,0.22
898,0.35
899,0.31
901,0.21
902,0.3
903,0.6
904,0.41
905,0.16
906,0.3
907,0.26
908,0.49
909,0.09
910,0.17
911,0.37
912,0.18
914,0.13
915,0.23
916,0.32
917,0.42
918,0.51
920,0.02
921,0.05
923,0.58
924,0.24
925,0.31
926,0.21
927,-0.1
928,0.26
929,0.6
930,0.12
932,0.2
935,0.3
936,0.23
938,-0.26
939,0.14
940,0.79
941,0.74
942,0.45
943,0.21
945,0.4
946,0.41
947,0.27
948,0.09
949,0.43
950,0.44
951,0.76
952,0.29
953,0.3
954,0.23
955,0.3
956,0.16
958,0.4
959,0.1
961,0.23
964,0.37
965,0.34
966,0.27
967,0.42
968,0.34
970,0.6
971,0.35
972,0.53
973,0.59
974,-0.23
975,0.15
976,0.34
977,0.23
978,0.53
979,0.41
980,0.27
981,0.21
982,0.42
983,0.37
984,0.18
985,0.58
986,0.24
987,0.52
988,0.03
989,0.31
990,0.26
992,0.22
994,0.06
995,0.4
996,0.63
997,0.35
998,0.41
999,0.36
1000,0.44
